article_length,num_sentences,avg_word_length,unique_entries,num_relations,relation_density,relation_density_per_sentence,precision,recall,f1,support
1503,11,4.9875,7,8,0.0053226879574184965,0.7272727272727273,0.75,0.125,0.21428571428571427,8.0
2037,12,5.0186335403726705,15,26,0.012763868433971527,2.1666666666666665,0.0,0.0,0.0,28.0
893,8,5.182481751824818,6,8,0.008958566629339306,1.0,0.0,0.0,0.0,9.0
987,9,5.548611111111111,11,19,0.019250253292806486,2.111111111111111,0.3684210526315789,0.05263157894736842,0.09210526315789473,19.0
1066,8,4.653846153846154,16,25,0.02345215759849906,3.125,0.0,0.0,0.0,27.0
1884,17,4.823529411764706,5,5,0.002653927813163482,0.29411764705882354,0.0,0.0,0.0,8.0
906,7,4.655629139072848,9,12,0.013245033112582781,1.7142857142857142,0.0,0.0,0.0,15.0
1026,9,4.579545454545454,17,15,0.014619883040935672,1.6666666666666667,0.025,0.05,0.03333333333333333,20.0
2759,20,5.054919908466819,10,13,0.004711852120333454,0.65,0.0,0.0,0.0,16.0
1179,9,5.5266272189349115,8,12,0.010178117048346057,1.3333333333333333,0.0,0.0,0.0,16.0
1959,13,5.287162162162162,10,8,0.00408371618172537,0.6153846153846154,0.0,0.0,0.0,11.0
1023,5,4.938650306748467,7,6,0.005865102639296188,1.2,0.0,0.0,0.0,9.0
1896,12,4.851132686084142,8,9,0.004746835443037975,0.75,0.0,0.0,0.0,10.0
858,10,4.56551724137931,17,25,0.029137529137529136,2.5,0.12,0.04,0.06,25.0
764,9,4.724409448818897,5,6,0.007853403141361256,0.6666666666666666,0.0,0.0,0.0,9.0
1371,11,4.86936936936937,2,1,0.0007293946024799417,0.09090909090909091,0.0,0.0,0.0,2.0
861,6,4.533783783783784,7,6,0.006968641114982578,1.0,0.0,0.0,0.0,8.0
766,10,4.950819672131147,15,22,0.028720626631853787,2.2,0.0,0.0,0.0,25.0
764,5,4.7899159663865545,12,15,0.01963350785340314,3.0,0.0,0.0,0.0,15.0
772,7,4.834645669291339,6,5,0.006476683937823834,0.7142857142857143,0.0,0.0,0.0,10.0
936,9,5.687022900763359,18,29,0.030982905982905984,3.2222222222222223,0.0,0.0,0.0,31.0
951,8,4.771241830065359,11,13,0.013669821240799159,1.625,0.2857142857142857,0.07142857142857142,0.1142857142857143,14.0
1376,9,4.896860986547085,15,15,0.010901162790697675,1.6666666666666667,0.0,0.0,0.0,17.0
915,5,5.191489361702128,6,6,0.006557377049180328,1.2,0.0,0.0,0.0,8.0
1808,12,5.143356643356643,5,5,0.0027654867256637168,0.4166666666666667,0.0,0.0,0.0,9.0
900,4,4.958041958041958,7,7,0.0077777777777777776,1.75,0.0,0.0,0.0,8.0
1925,19,5.3517241379310345,14,17,0.008831168831168832,0.8947368421052632,0.0,0.0,0.0,21.0
688,7,4.5966386554621845,6,5,0.007267441860465116,0.7142857142857143,0.0,0.0,0.0,6.0
875,10,4.612244897959184,7,7,0.008,0.7,0.0,0.0,0.0,8.0
1791,9,5.380769230769231,14,24,0.01340033500837521,2.6666666666666665,0.0,0.0,0.0,26.0
688,5,4.792792792792793,7,10,0.014534883720930232,2.0,0.0,0.0,0.0,11.0
1182,10,4.873015873015873,8,6,0.005076142131979695,0.6,0.0,0.0,0.0,8.0
735,7,5.216216216216216,8,14,0.01904761904761905,2.0,0.31111111111111106,0.13333333333333333,0.18666666666666668,15.0
709,9,4.152671755725191,7,5,0.007052186177715092,0.5555555555555556,0.0,0.0,0.0,7.0
717,11,4.929203539823009,13,19,0.026499302649930265,1.7272727272727273,0.36666666666666664,0.1,0.15714285714285714,20.0
663,5,4.184210526315789,6,6,0.00904977375565611,1.2,0.8333333333333334,0.16666666666666666,0.27777777777777773,6.0
974,9,5.104575163398692,10,11,0.011293634496919919,1.2222222222222223,0.0,0.0,0.0,16.0
955,14,5.074829931972789,6,11,0.011518324607329843,0.7857142857142857,0.0,0.0,0.0,13.0
1066,13,5.248447204968944,13,18,0.016885553470919325,1.3846153846153846,0.0,0.0,0.0,24.0
1669,12,4.93916349809886,10,14,0.008388256440982624,1.1666666666666667,0.0,0.0,0.0,17.0
1021,13,4.865030674846626,9,13,0.012732615083251714,1.0,0.0,0.0,0.0,15.0
1247,10,4.5813953488372094,8,18,0.014434643143544507,1.8,0.16666666666666666,0.05555555555555555,0.08333333333333333,18.0
1242,10,5.147368421052631,12,12,0.00966183574879227,1.2,0.0,0.0,0.0,15.0
2196,23,4.917142857142857,4,8,0.0036429872495446266,0.34782608695652173,0.0,0.0,0.0,10.0
960,10,5.1066666666666665,4,2,0.0020833333333333333,0.2,0.0,0.0,0.0,6.0
864,11,4.892086330935252,11,10,0.011574074074074073,0.9090909090909091,0.0,0.0,0.0,12.0
820,5,4.567375886524823,11,13,0.015853658536585366,2.6,0.0,0.0,0.0,15.0
1234,6,5.23404255319149,11,10,0.008103727714748784,1.6666666666666667,0.0,0.0,0.0,13.0
1326,9,5.284313725490196,4,5,0.003770739064856712,0.5555555555555556,0.09523809523809523,0.14285714285714285,0.1142857142857143,7.0
868,5,5.715447154471545,3,2,0.002304147465437788,0.4,0.0,0.0,0.0,3.0
757,4,5.243478260869566,9,11,0.01453104359313078,2.75,0.0,0.0,0.0,13.0
792,8,5.310924369747899,9,18,0.022727272727272728,2.25,0.3333333333333333,0.05555555555555555,0.09523809523809523,18.0
816,6,5.208,12,24,0.029411764705882353,4.0,0.2916666666666667,0.08333333333333333,0.12962962962962962,24.0
2176,11,5.011627906976744,5,9,0.004136029411764706,0.8181818181818182,0.0,0.0,0.0,13.0
746,8,4.226277372262774,8,8,0.010723860589812333,1.0,0.0,0.0,0.0,10.0
904,5,4.781456953642384,3,2,0.0022123893805309734,0.4,1.0,1.0,1.0,2.0
1542,10,4.751004016064257,9,9,0.005836575875486381,0.9,0.1,0.1,0.1,10.0
1297,14,4.671232876712328,13,24,0.018504240555127217,1.7142857142857142,0.0,0.0,0.0,25.0
693,6,4.730434782608696,7,8,0.011544011544011544,1.3333333333333333,0.0,0.0,0.0,9.0
809,6,5.375,5,8,0.009888751545117428,1.3333333333333333,0.05555555555555555,0.1111111111111111,0.07407407407407407,9.0
